// Hunting Mission Database
// MobID,Enable
1001,1
1002,1
1004,1
1005,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1018,1
1019,1
1020,1
1023,1
1024,1
1025,1
1026,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1040,1
1041,1
1042,1
1044,1
1045,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1060,1
1061,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,1
1076,1
1077,1
1094,1
1095,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,1
1109,1
1110,1
1111,1
1113,1
1114,1
1116,1
1117,1
1118,1
1119,1
1121,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1138,1
1139,1
1140,1
1141,1
1142,1
1143,1
1144,1
1145,1
1146,1
1148,1
1149,1
1151,1
1152,1
1153,1
1154,1
1155,1
1156,1
1158,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1169,1
1170,1
1174,1
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1188,1
1189,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1199,1
1201,1
1202,1
1206,1
1207,1
1208,1
1209,1
1211,1
1213,1
1214,1
1215,1
1216,1
1219,1
1242,1
1243,1
1246,1
1248,1
1249,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1260,1
1261,1
1263,1
1264,1
1265,1
1266,1
1267,1
1269,1
1271,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,1
1280,1
1281,1
1282,1
1292,1
1295,1
1297,1
1310,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1390,1
1391,1
1392,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1408,1
1409,1
1410,1
1412,1
1413,1
1415,1
1416,1
1417,1
1493,1
1494,1
1495,1
1497,1
1498,1
1499,1
1500,1
1503,1
1504,1
1505,1
1506,1
1507,1
1508,1
1509,1
1510,1
1512,1
1513,1
1514,1
1516,1
1517,1
1584,1
1586,1
1587,1
1613,1
1614,1
1615,1
1616,1
1617,1
1619,1
1620,1
1621,1
1622,1
1627,1
1628,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1668,1
1670,1
1671,1
1672,1
1673,1
1680,1
1682,1
1687,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,1
1699,1
1700,1
1701,1
1702,1
1703,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1735,1
1736,1
1737,1
1738,1
1752,1
1753,1
1754,1
1755,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1780,1
1781,1
1782,1
1783,1
1784,1
1789,1
1829,1
1830,1
1831,1
1833,1
1836,1
1837,1
1838,1
1864,1
1865,1
1866,1
1867,1
1869,1
1870,1
1880,1
1881,1
1882,1
1883,1
1884,1
1918,1
1919,1
1920,1
1921,1
1986,1
1987,1
1988,1
1989,1
1992,1
1993,1
1994,1
1995,1
1999,1
